time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00161979, 0, 0, 0
2e-11, 0.00909547, 0, 0, 0
3e-11, 0.0246718, 0, 0, 0
4e-11, 0.0493582, 0, 0, 0
5e-11, 0.0830954, 0, 0, 0
6e-11, 0.124798, 0, 0, 0
7e-11, 0.172478, 0, 0, 0
8e-11, 0.22344, 0, 0, 0
9e-11, 0.274696, 0, 0, 0
1e-10, 0.323413, 0, 0, 0
1.1e-10, 0.367252, 0, 0, 0
1.2e-10, 0.404622, 0, 0, 0
1.3e-10, 0.434787, 7.24015e-06, 0, 0
1.4e-10, 0.457811, 0.0019492, 0, 0
1.5e-10, 0.474384, 0.00954414, 0, 0
1.6e-10, 0.485592, 0.0246978, 0, 0
1.7e-10, 0.492666, 0.0482686, 0, 0
1.8e-10, 0.496788, 0.0801783, 0, 0
1.9e-10, 0.498962, 0.11945, 0, 0
2e-10, 0.499955, 0.164325, 0, 0
2.1e-10, 0.500302, 0.212474, 0, 0
2.2e-10, 0.500343, 0.261301, 0, 0
2.3e-10, 0.500278, 0.308273, 0, 0
2.4e-10, 0.500202, 0.351235, 0, 0
2.5e-10, 0.500153, 0.388641, 0, 0
2.6e-10, 0.500174, 0.419659, 0, 0
2.7e-10, 0.500291, 0.444161, 0, 0
2.8e-10, 0.500456, 0.462595, 0, 0
2.9e-10, 0.500639, 0.475801, 0, 0
3e-10, 0.500813, 0.484804, 0, 0
3.1e-10, 0.500959, 0.490641, 0, 0
3.2e-10, 0.501058, 0.49424, 0, 0
3.3e-10, 0.5011, 0.49635, 0, 0
3.4e-10, 0.501082, 0.497525, 0, 0
3.5e-10, 0.501007, 0.498146, 0, 0
3.6e-10, 0.500885, 0.498458, 0, 0
3.7e-10, 0.500732, 0.498607, 0, 0
3.8e-10, 0.500562, 0.498674, 0, 0
3.9e-10, 0.500393, 0.498701, 0, 0
4e-10, 0.500236, 0.498708, 0, 0
4.1e-10, 0.5001, 0.498707, 0, 0
4.2e-10, 0.49999, 0.498702, 0, 0
4.3e-10, 0.499906, 0.498695, 0, 0
4.4e-10, 0.499845, 0.49869, 0, 0
4.5e-10, 0.499804, 0.498685, 0, 0
4.6e-10, 0.499777, 0.498682, 0, 0
4.7e-10, 0.499761, 0.498681, 0, 0
4.8e-10, 0.499751, 0.498681, 0, 0
4.9e-10, 0.499746, 0.498684, 0, 0
5e-10, 0.499744, 0.498688, 0, 0
5.1e-10, 0.499742, 0.498692, 0, 0
5.2e-10, 0.499742, 0.498696, 0, 0
5.3e-10, 0.499742, 0.498701, 0, 0
5.4e-10, 0.499741, 0.498705, 0, 0
5.5e-10, 0.499741, 0.498708, 0, 0
5.6e-10, 0.499741, 0.49871, 0, 0
5.7e-10, 0.499741, 0.498712, 0, 0
5.8e-10, 0.499741, 0.498714, 0, 0
5.9e-10, 0.499741, 0.498714, 0, 0
6e-10, 0.499741, 0.498715, 0, 0
6.1e-10, 0.499741, 0.498715, 0, 0
6.2e-10, 0.499741, 0.498715, 0, 0
6.3e-10, 0.499741, 0.498716, 0, 0
6.4e-10, 0.499741, 0.498716, 0, 0
6.5e-10, 0.499741, 0.498716, 0, 0
6.6e-10, 0.499741, 0.498716, 0, 0
6.7e-10, 0.499741, 0.498716, 0, 0
6.8e-10, 0.499741, 0.498716, 0, 0
6.9e-10, 0.499741, 0.498716, 0, 0
7e-10, 0.499741, 0.498716, 0, 0
7.1e-10, 0.499741, 0.498716, 0, 0
7.2e-10, 0.499741, 0.498716, 0, 0
7.3e-10, 0.499741, 0.498716, 0, 0
7.4e-10, 0.499741, 0.498716, 0, 0
7.5e-10, 0.499741, 0.498716, 0, 0
7.6e-10, 0.499741, 0.498716, 0, 0
7.7e-10, 0.499741, 0.498716, 0, 0
7.8e-10, 0.499741, 0.498716, 0, 0
7.9e-10, 0.499741, 0.498716, 0, 0
8e-10, 0.499741, 0.498716, 0, 0
8.1e-10, 0.499741, 0.498716, 0, 0
8.2e-10, 0.499741, 0.498716, 0, 0
8.3e-10, 0.499741, 0.498716, 0, 0
8.4e-10, 0.499741, 0.498716, 0, 0
8.5e-10, 0.499741, 0.498716, 0, 0
8.6e-10, 0.499741, 0.498716, 0, 0
8.7e-10, 0.499741, 0.498716, 0, 0
8.8e-10, 0.499741, 0.498716, 0, 0
8.9e-10, 0.499741, 0.498716, 0, 0
9e-10, 0.499741, 0.498716, 0, 0
9.1e-10, 0.499741, 0.498716, 0, 0
9.2e-10, 0.499741, 0.498716, 0, 0
9.3e-10, 0.499741, 0.498716, 0, 0
9.4e-10, 0.499741, 0.498716, 0, 0
9.5e-10, 0.499741, 0.498716, 0, 0
9.6e-10, 0.499741, 0.498716, 0, 0
9.7e-10, 0.499741, 0.498716, 0, 0
9.8e-10, 0.499741, 0.498716, 0, 0
