time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.0015709, 0, 2.71742e-06, 0
2e-11, 0.00882289, 0, 4.39186e-05, 0
3e-11, 0.0238999, 0, 0.00011076, 0
4e-11, 0.0477325, 0, 0.000190394, 0
5e-11, 0.080231, 0, 0.000309466, 0
6e-11, 0.120327, 0, 0.000505281, 0
7e-11, 0.166098, 0, 0.000796781, 0
8e-11, 0.215019, 0, 0.00119031, 0
9e-11, 0.264301, 0, 0.00167097, 0
1e-10, 0.31127, 0, 0.00223081, 0
1.1e-10, 0.353718, 0, 0.00287551, 0
1.2e-10, 0.39014, 0, 0.00361296, -1.02809e-06
1.3e-10, 0.419824, 0, 0.00438148, -1.43077e-05
1.4e-10, 0.442806, 0.00115701, 0.00509111, -3.8638e-05
1.5e-10, 0.459706, 0.0073595, 0.00565814, -6.83751e-05
1.6e-10, 0.471503, 0.0208152, 0.00604949, -9.97313e-05
1.7e-10, 0.479316, 0.0425847, 0.00623303, -0.000128608
1.8e-10, 0.484224, 0.0727842, 0.00618858, -0.000152115
1.9e-10, 0.487148, 0.110619, 0.00592565, -0.000167865
2e-10, 0.488795, 0.154479, 0.00548435, -0.000174316
2.1e-10, 0.489669, 0.20213, 0.00497388, -0.000170472
2.2e-10, 0.490104, 0.251002, 0.0044655, -0.000156535
2.3e-10, 0.490304, 0.298521, 0.00397293, -0.000133644
2.4e-10, 0.490385, 0.342429, 0.00354613, -0.000104319
2.5e-10, 0.490413, 0.38104, 0.00325107, -7.24725e-05
2.6e-10, 0.490424, 0.413373, 0.00305936, -4.14823e-05
2.7e-10, 0.490482, 0.439161, 0.00293652, -1.39627e-05
2.8e-10, 0.490642, 0.458749, 0.00284853, 8.35361e-06
2.9e-10, 0.49093, 0.472915, 0.00276186, 2.46466e-05
3e-10, 0.491356, 0.482662, 0.00264862, 3.49092e-05
3.1e-10, 0.491913, 0.489039, 0.00249085, 3.97574e-05
3.2e-10, 0.492583, 0.493004, 0.00228246, 4.05683e-05
3.3e-10, 0.493335, 0.495345, 0.00202872, 3.92812e-05
3.4e-10, 0.494131, 0.496656, 0.00174354, 3.67109e-05
3.5e-10, 0.494929, 0.497353, 0.00144564, 3.3662e-05
3.6e-10, 0.495691, 0.497703, 0.00115449, 3.14539e-05
3.7e-10, 0.496384, 0.497869, 0.00088683, 3.0364e-05
3.8e-10, 0.496987, 0.497944, 0.000654497, 3.00774e-05
3.9e-10, 0.497487, 0.497976, 0.000463576, 3.02701e-05
4e-10, 0.497883, 0.497989, 0.000314787, 3.05509e-05
4.1e-10, 0.498182, 0.497993, 0.000204704, 3.05356e-05
4.2e-10, 0.498399, 0.497995, 0.000127343, 2.99229e-05
4.3e-10, 0.498548, 0.497996, 7.56963e-05, 2.85459e-05
4.4e-10, 0.498646, 0.497996, 4.29468e-05, 2.6388e-05
4.5e-10, 0.498707, 0.497996, 2.32297e-05, 2.35673e-05
4.6e-10, 0.498744, 0.497996, 1.19651e-05, 2.02974e-05
4.7e-10, 0.498765, 0.497996, 5.86201e-06, 1.68367e-05
4.8e-10, 0.498776, 0.497996, 2.72864e-06, 1.34388e-05
4.9e-10, 0.498782, 0.497996, 1.2054e-06, 1.03136e-05
5e-10, 0.498784, 0.497996, 5.04805e-07, 7.60484e-06
5.1e-10, 0.498786, 0.497996, 2.002e-07, 5.38361e-06
5.2e-10, 0.498786, 0.497996, 7.51101e-08, 3.65609e-06
5.3e-10, 0.498786, 0.497996, 2.66309e-08, 2.37985e-06
5.4e-10, 0.498786, 0.497996, 8.91452e-09, 1.48348e-06
5.5e-10, 0.498787, 0.497996, 2.81458e-09, 8.84718e-07
5.6e-10, 0.498787, 0.497996, 8.37388e-10, 5.04304e-07
5.7e-10, 0.498787, 0.497996, 2.3455e-10, 2.7448e-07
5.8e-10, 0.498787, 0.497996, 6.17949e-11, 1.42501e-07
5.9e-10, 0.498787, 0.497996, 1.53001e-11, 7.04973e-08
6e-10, 0.498787, 0.497996, 3.55702e-12, 3.31995e-08
6.1e-10, 0.498787, 0.497996, 7.7582e-13, 1.48682e-08
6.2e-10, 0.498787, 0.497996, 1.5862e-13, 6.32587e-09
6.3e-10, 0.498787, 0.497996, 3.03733e-14, 2.55443e-09
6.4e-10, 0.498787, 0.497996, 5.44183e-15, 9.78051e-10
6.5e-10, 0.498787, 0.497996, 9.14199e-16, 3.54746e-10
6.6e-10, 0.498787, 0.497996, 1.42247e-16, 1.21776e-10
