time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00156066, 0, 0, 0
2e-11, 0.00872779, 0, 0, 0
3e-11, 0.0236133, 0, 0, 0
4e-11, 0.0471606, 0, 0, 0
5e-11, 0.0793022, 0, 0, 0
6e-11, 0.118986, 0, 0, 0
7e-11, 0.164301, 0, 0, 0
8e-11, 0.212762, 0, 0, 0
9e-11, 0.26162, 0, 0, 0
1e-10, 0.308238, 0, 0, 0
1.1e-10, 0.350424, 0, 0, 0
1.2e-10, 0.386675, 0, 0, 0
1.3e-10, 0.416263, 0, 0, 0
1.4e-10, 0.439205, 0.000990429, 0, 0
1.5e-10, 0.456097, 0.00682946, 0, 0
1.6e-10, 0.467902, 0.0198049, 0, 0
1.7e-10, 0.475731, 0.0410228, 0, 0
1.8e-10, 0.480659, 0.0706451, 0, 0
1.9e-10, 0.483602, 0.107924, 0, 0
2e-10, 0.485275, 0.15129, 0, 0
2.1e-10, 0.486186, 0.198542, 0, 0
2.2e-10, 0.48667, 0.247128, 0, 0
2.3e-10, 0.486927, 0.294478, 0, 0
2.4e-10, 0.487075, 0.338323, 0, 0
2.5e-10, 0.487171, 0.376954, 0, 0
2.6e-10, 0.487232, 0.409364, 0, 0
2.7e-10, 0.487318, 0.43526, 0, 0
2.8e-10, 0.487484, 0.454964, 0, 0
2.9e-10, 0.48776, 0.469235, 0, 0
3e-10, 0.48816, 0.47907, 0, 0
3.1e-10, 0.488684, 0.485514, 0, 0
3.2e-10, 0.48932, 0.489527, 0, 0
3.3e-10, 0.490042, 0.491899, 0, 0
3.4e-10, 0.490817, 0.493229, 0, 0
3.5e-10, 0.491606, 0.493936, 0, 0
3.6e-10, 0.492371, 0.494292, 0, 0
3.7e-10, 0.493077, 0.494462, 0, 0
3.8e-10, 0.493699, 0.494538, 0, 0
3.9e-10, 0.494222, 0.494571, 0, 0
4e-10, 0.494641, 0.494585, 0, 0
4.1e-10, 0.494963, 0.494593, 0, 0
4.2e-10, 0.495197, 0.494599, 0, 0
4.3e-10, 0.49536, 0.494605, 0, 0
4.4e-10, 0.495469, 0.494613, 0, 0
4.5e-10, 0.495537, 0.494621, 0, 0
4.6e-10, 0.495578, 0.494631, 0, 0
4.7e-10, 0.495602, 0.494641, 0, 0
4.8e-10, 0.495615, 0.49465, 0, 0
4.9e-10, 0.495621, 0.494659, 0, 0
5e-10, 0.495625, 0.494668, 0, 0
5.1e-10, 0.495626, 0.494675, 0, 0
5.2e-10, 0.495627, 0.494681, 0, 0
5.3e-10, 0.495627, 0.494686, 0, 0
5.4e-10, 0.495627, 0.494689, 0, 0
5.5e-10, 0.495627, 0.494692, 0, 0
5.6e-10, 0.495627, 0.494693, 0, 0
5.7e-10, 0.495627, 0.494695, 0, 0
5.8e-10, 0.495627, 0.494695, 0, 0
5.9e-10, 0.495627, 0.494696, 0, 0
6e-10, 0.495627, 0.494696, 0, 0
6.1e-10, 0.495627, 0.494696, 0, 0
6.2e-10, 0.495627, 0.494696, 0, 0
6.3e-10, 0.495627, 0.494696, 0, 0
6.4e-10, 0.495627, 0.494696, 0, 0
6.5e-10, 0.495627, 0.494696, 0, 0
6.6e-10, 0.495627, 0.494696, 0, 0
6.7e-10, 0.495627, 0.494696, 0, 0
6.8e-10, 0.495627, 0.494696, 0, 0
6.9e-10, 0.495627, 0.494696, 0, 0
7e-10, 0.495627, 0.494696, 0, 0
7.1e-10, 0.495627, 0.494696, 0, 0
7.2e-10, 0.495627, 0.494696, 0, 0
7.3e-10, 0.495627, 0.494696, 0, 0
7.4e-10, 0.495627, 0.494696, 0, 0
7.5e-10, 0.495627, 0.494696, 0, 0
7.6e-10, 0.495627, 0.494696, 0, 0
7.7e-10, 0.495627, 0.494696, 0, 0
7.8e-10, 0.495627, 0.494696, 0, 0
7.9e-10, 0.495627, 0.494696, 0, 0
8e-10, 0.495627, 0.494696, 0, 0
8.1e-10, 0.495627, 0.494696, 0, 0
8.2e-10, 0.495627, 0.494696, 0, 0
8.3e-10, 0.495627, 0.494696, 0, 0
8.4e-10, 0.495627, 0.494696, 0, 0
8.5e-10, 0.495627, 0.494696, 0, 0
8.6e-10, 0.495627, 0.494696, 0, 0
8.7e-10, 0.495627, 0.494696, 0, 0
8.8e-10, 0.495627, 0.494696, 0, 0
8.9e-10, 0.495627, 0.494696, 0, 0
9e-10, 0.495627, 0.494696, 0, 0
9.1e-10, 0.495627, 0.494696, 0, 0
9.2e-10, 0.495627, 0.494696, 0, 0
9.3e-10, 0.495627, 0.494696, 0, 0
9.4e-10, 0.495627, 0.494696, 0, 0
9.5e-10, 0.495627, 0.494696, 0, 0
9.6e-10, 0.495627, 0.494696, 0, 0
9.7e-10, 0.495627, 0.494696, 0, 0
9.8e-10, 0.495627, 0.494696, 0, 0
