1.522229589829e-03 0.000000000000e+000  9.984777703102e-01 0.000000000000e+000  2.082087048432e-05 0.000000000000e+000  -2.082087048437e-05 0.000000000000e+000  2.379735529221e-06 0.000000000000e+000  -2.379735529218e-06 0.000000000000e+000  1.447176032287e-06 0.000000000000e+000  -1.447176032294e-06 0.000000000000e+000  3.996361395378e-05 0.000000000000e+000  -3.996361395376e-05 0.000000000000e+000  2.164709119184e-05 0.000000000000e+000  -2.164709119186e-05 0.000000000000e+000  2.078908471991e-06 0.000000000000e+000  -2.078908471944e-06 0.000000000000e+000  2.379755090126e-06 0.000000000000e+000  -2.379755163029e-06 0.000000000000e+000  4.053119012738e-06 0.000000000000e+000  -4.053119012814e-06 0.000000000000e+000  2.236674993768e-05 0.000000000000e+000  -2.236674993757e-05 0.000000000000e+000  
9.984777703102e-01 0.000000000000e+000  1.522229589830e-03 0.000000000000e+000  -2.082087048437e-05 0.000000000000e+000  2.082087048437e-05 0.000000000000e+000  -2.379735529225e-06 0.000000000000e+000  2.379735529197e-06 0.000000000000e+000  -1.447176032284e-06 0.000000000000e+000  1.447176032271e-06 0.000000000000e+000  -3.996361395376e-05 0.000000000000e+000  3.996361395378e-05 0.000000000000e+000  -2.164709119183e-05 0.000000000000e+000  2.164709119181e-05 0.000000000000e+000  -2.078908471937e-06 0.000000000000e+000  2.078908471992e-06 0.000000000000e+000  -2.379755163155e-06 0.000000000000e+000  2.379755089996e-06 0.000000000000e+000  -4.053119012827e-06 0.000000000000e+000  4.053119012809e-06 0.000000000000e+000  -2.236674993760e-05 0.000000000000e+000  2.236674993767e-05 0.000000000000e+000  
2.082087048432e-05 0.000000000000e+000  -2.082087048437e-05 0.000000000000e+000  1.542290753863e-03 0.000000000000e+000  9.984577091462e-01 0.000000000000e+000  2.505752442153e-06 0.000000000000e+000  -2.505752442156e-06 0.000000000000e+000  1.579737019293e-06 0.000000000000e+000  -1.579737019300e-06 0.000000000000e+000  2.082073288667e-05 0.000000000000e+000  -2.082073288667e-05 0.000000000000e+000  2.154109397198e-05 0.000000000000e+000  -2.154109397201e-05 0.000000000000e+000  2.059165698090e-06 0.000000000000e+000  -2.059165698023e-06 0.000000000000e+000  2.505773042375e-06 0.000000000000e+000  -2.505773112281e-06 0.000000000000e+000  3.915689401301e-06 0.000000000000e+000  -3.915689401329e-06 0.000000000000e+000  3.195601060544e-06 0.000000000000e+000  -3.195601060459e-06 0.000000000000e+000  
-2.082087048437e-05 0.000000000000e+000  2.082087048437e-05 0.000000000000e+000  9.984577091462e-01 0.000000000000e+000  1.542290753863e-03 0.000000000000e+000  -2.505752442168e-06 0.000000000000e+000  2.505752442139e-06 0.000000000000e+000  -1.579737019299e-06 0.000000000000e+000  1.579737019258e-06 0.000000000000e+000  -2.082073288666e-05 0.000000000000e+000  2.082073288670e-05 0.000000000000e+000  -2.154109397197e-05 0.000000000000e+000  2.154109397194e-05 0.000000000000e+000  -2.059165698004e-06 0.000000000000e+000  2.059165698094e-06 0.000000000000e+000  -2.505773112381e-06 0.000000000000e+000  2.505773042154e-06 0.000000000000e+000  -3.915689401353e-06 0.000000000000e+000  3.915689401347e-06 0.000000000000e+000  -3.195601060482e-06 0.000000000000e+000  3.195601060559e-06 0.000000000000e+000  
2.379735529221e-06 0.000000000000e+000  -2.379735529225e-06 0.000000000000e+000  2.505752442153e-06 0.000000000000e+000  -2.505752442168e-06 0.000000000000e+000  1.512221024526e-03 0.000000000000e+000  9.984877788756e-01 0.000000000000e+000  4.374874081993e-06 0.000000000000e+000  -4.374874081964e-06 0.000000000000e+000  2.379719802397e-06 0.000000000000e+000  -2.379719802400e-06 0.000000000000e+000  2.384165431148e-06 0.000000000000e+000  -2.384165431230e-06 0.000000000000e+000  4.117845255695e-06 0.000000000000e+000  -4.117845255634e-06 0.000000000000e+000  3.990857255158e-05 0.000000000000e+000  -3.990857265616e-05 0.000000000000e+000  2.056622561154e-05 0.000000000000e+000  -2.056622561158e-05 0.000000000000e+000  2.056208158409e-05 0.000000000000e+000  -2.056208158411e-05 0.000000000000e+000  
-2.379735529218e-06 0.000000000000e+000  2.379735529197e-06 0.000000000000e+000  -2.505752442156e-06 0.000000000000e+000  2.505752442139e-06 0.000000000000e+000  9.984877788756e-01 0.000000000000e+000  1.512221024526e-03 0.000000000000e+000  -4.374874081973e-06 0.000000000000e+000  4.374874081944e-06 0.000000000000e+000  -2.379719802400e-06 0.000000000000e+000  2.379719802381e-06 0.000000000000e+000  -2.384165431184e-06 0.000000000000e+000  2.384165431106e-06 0.000000000000e+000  -4.117845255645e-06 0.000000000000e+000  4.117845255685e-06 0.000000000000e+000  -3.990857265645e-05 0.000000000000e+000  3.990857255111e-05 0.000000000000e+000  -2.056622561157e-05 0.000000000000e+000  2.056622561151e-05 0.000000000000e+000  -2.056208158412e-05 0.000000000000e+000  2.056208158406e-05 0.000000000000e+000  
1.447176032287e-06 0.000000000000e+000  -1.447176032284e-06 0.000000000000e+000  1.579737019293e-06 0.000000000000e+000  -1.579737019299e-06 0.000000000000e+000  4.374874081993e-06 0.000000000000e+000  -4.374874081973e-06 0.000000000000e+000  1.523531951433e-03 0.000000000000e+000  9.984764679487e-01 0.000000000000e+000  1.447166468402e-06 0.000000000000e+000  -1.447166468402e-06 0.000000000000e+000  1.456204028165e-06 0.000000000000e+000  -1.456204028111e-06 0.000000000000e+000  3.712959066951e-06 0.000000000000e+000  -3.712959066963e-06 0.000000000000e+000  4.374910059155e-06 0.000000000000e+000  -4.374910159855e-06 0.000000000000e+000  2.083676225650e-06 0.000000000000e+000  -2.083676225559e-06 0.000000000000e+000  2.074676159308e-06 0.000000000000e+000  -2.074676159283e-06 0.000000000000e+000  
-1.447176032294e-06 0.000000000000e+000  1.447176032271e-06 0.000000000000e+000  -1.579737019300e-06 0.000000000000e+000  1.579737019258e-06 0.000000000000e+000  -4.374874081964e-06 0.000000000000e+000  4.374874081944e-06 0.000000000000e+000  9.984764679487e-01 0.000000000000e+000  1.523531951434e-03 0.000000000000e+000  -1.447166468442e-06 0.000000000000e+000  1.447166468416e-06 0.000000000000e+000  -1.456204028135e-06 0.000000000000e+000  1.456204028154e-06 0.000000000000e+000  -3.712959066942e-06 0.000000000000e+000  3.712959066980e-06 0.000000000000e+000  -4.374910160046e-06 0.000000000000e+000  4.374910059000e-06 0.000000000000e+000  -2.083676225611e-06 0.000000000000e+000  2.083676225649e-06 0.000000000000e+000  -2.074676159305e-06 0.000000000000e+000  2.074676159285e-06 0.000000000000e+000  
3.996361395378e-05 0.000000000000e+000  -3.996361395376e-05 0.000000000000e+000  2.082073288667e-05 0.000000000000e+000  -2.082073288666e-05 0.000000000000e+000  2.379719802397e-06 0.000000000000e+000  -2.379719802400e-06 0.000000000000e+000  1.447166468402e-06 0.000000000000e+000  -1.447166468442e-06 0.000000000000e+000  1.528827907979e-03 0.000000000000e+000  9.984711719921e-01 0.000000000000e+000  2.164694813395e-05 0.000000000000e+000  -2.164694813399e-05 0.000000000000e+000  2.078894733246e-06 0.000000000000e+000  -2.078894733164e-06 0.000000000000e+000  2.379739375357e-06 0.000000000000e+000  -2.379739424058e-06 0.000000000000e+000  4.053092227196e-06 0.000000000000e+000  -4.053092227178e-06 0.000000000000e+000  2.236660212380e-05 0.000000000000e+000  -2.236660212378e-05 0.000000000000e+000  
-3.996361395376e-05 0.000000000000e+000  3.996361395378e-05 0.000000000000e+000  -2.082073288667e-05 0.000000000000e+000  2.082073288670e-05 0.000000000000e+000  -2.379719802400e-06 0.000000000000e+000  2.379719802381e-06 0.000000000000e+000  -1.447166468402e-06 0.000000000000e+000  1.447166468416e-06 0.000000000000e+000  9.984711719921e-01 0.000000000000e+000  1.528827907980e-03 0.000000000000e+000  -2.164694813396e-05 0.000000000000e+000  2.164694813392e-05 0.000000000000e+000  -2.078894733172e-06 0.000000000000e+000  2.078894733232e-06 0.000000000000e+000  -2.379739423793e-06 0.000000000000e+000  2.379739375359e-06 0.000000000000e+000  -4.053092227176e-06 0.000000000000e+000  4.053092227185e-06 0.000000000000e+000  -2.236660212377e-05 0.000000000000e+000  2.236660212379e-05 0.000000000000e+000  
2.164709119184e-05 0.000000000000e+000  -2.164709119183e-05 0.000000000000e+000  2.154109397198e-05 0.000000000000e+000  -2.154109397197e-05 0.000000000000e+000  2.384165431148e-06 0.000000000000e+000  -2.384165431184e-06 0.000000000000e+000  1.456204028165e-06 0.000000000000e+000  -1.456204028135e-06 0.000000000000e+000  2.164694813395e-05 0.000000000000e+000  -2.164694813396e-05 0.000000000000e+000  1.525221927695e-03 0.000000000000e+000  9.984747779724e-01 0.000000000000e+000  2.014137552084e-06 0.000000000000e+000  -2.014137552054e-06 0.000000000000e+000  2.384185014083e-06 0.000000000000e+000  -2.384185115955e-06 0.000000000000e+000  2.327054791358e-05 0.000000000000e+000  -2.327054791359e-05 0.000000000000e+000  4.035212714535e-06 0.000000000000e+000  -4.035212714556e-06 0.000000000000e+000  
