1.485955472392e-03 0.000000000000e+000  9.985140444275e-01 0.000000000000e+000  3.689681786808e-06 0.000000000000e+000  -3.689681704614e-06 0.000000000000e+000  3.689789610960e-06 0.000000000000e+000  -3.689789610994e-06 0.000000000000e+000  3.689750342463e-06 0.000000000000e+000  -3.689750342414e-06 0.000000000000e+000  3.689728448269e-06 0.000000000000e+000  -3.689728448271e-06 0.000000000000e+000  3.689745182438e-06 0.000000000000e+000  -3.689745182393e-06 0.000000000000e+000  3.689801535777e-06 0.000000000000e+000  -3.689801535814e-06 0.000000000000e+000  3.689819996680e-06 0.000000000000e+000  -3.689819996646e-06 0.000000000000e+000  3.689062594916e-06 0.000000000000e+000  -3.689062594858e-06 0.000000000000e+000  3.689114620900e-06 0.000000000000e+000  -3.689114620806e-06 0.000000000000e+000  
9.985140444275e-01 0.000000000000e+000  1.485955472391e-03 0.000000000000e+000  -3.689681704205e-06 0.000000000000e+000  3.689681786754e-06 0.000000000000e+000  -3.689789610755e-06 0.000000000000e+000  3.689789610762e-06 0.000000000000e+000  -3.689750342313e-06 0.000000000000e+000  3.689750342295e-06 0.000000000000e+000  -3.689728448074e-06 0.000000000000e+000  3.689728448080e-06 0.000000000000e+000  -3.689745182318e-06 0.000000000000e+000  3.689745182311e-06 0.000000000000e+000  -3.689801535569e-06 0.000000000000e+000  3.689801535536e-06 0.000000000000e+000  -3.689819996529e-06 0.000000000000e+000  3.689819996488e-06 0.000000000000e+000  -3.689062589933e-06 0.000000000000e+000  3.689062589999e-06 0.000000000000e+000  -3.689114619498e-06 0.000000000000e+000  3.689114619602e-06 0.000000000000e+000  
3.689681786808e-06 0.000000000000e+000  -3.689681704205e-06 0.000000000000e+000  1.505192835769e-03 0.000000000000e+000  9.984948071634e-01 0.000000000000e+000  3.689718520384e-06 0.000000000000e+000  -3.689718525700e-06 0.000000000000e+000  3.689679249581e-06 0.000000000000e+000  -3.689679261502e-06 0.000000000000e+000  3.689657339929e-06 0.000000000000e+000  -3.689657383774e-06 0.000000000000e+000  3.689674073229e-06 0.000000000000e+000  -3.689674118505e-06 0.000000000000e+000  3.689730434829e-06 0.000000000000e+000  -3.689730460919e-06 0.000000000000e+000  3.689748905617e-06 0.000000000000e+000  -3.689748911475e-06 0.000000000000e+000  3.688991526832e-06 0.000000000000e+000  -3.688991510682e-06 0.000000000000e+000  3.689043570649e-06 0.000000000000e+000  -3.689043520450e-06 0.000000000000e+000  
-3.689681704614e-06 0.000000000000e+000  3.689681786754e-06 0.000000000000e+000  9.984948071634e-01 0.000000000000e+000  1.505192835459e-03 0.000000000000e+000  -3.689718525950e-06 0.000000000000e+000  3.689718520052e-06 0.000000000000e+000  -3.689679261582e-06 0.000000000000e+000  3.689679249397e-06 0.000000000000e+000  -3.689657383804e-06 0.000000000000e+000  3.689657339831e-06 0.000000000000e+000  -3.689674118432e-06 0.000000000000e+000  3.689674073245e-06 0.000000000000e+000  -3.689730460825e-06 0.000000000000e+000  3.689730434630e-06 0.000000000000e+000  -3.689748911471e-06 0.000000000000e+000  3.689748905567e-06 0.000000000000e+000  -3.688991510870e-06 0.000000000000e+000  3.688991527423e-06 0.000000000000e+000  -3.689043520640e-06 0.000000000000e+000  3.689043570928e-06 0.000000000000e+000  
3.689789610960e-06 0.000000000000e+000  -3.689789610755e-06 0.000000000000e+000  3.689718520384e-06 0.000000000000e+000  -3.689718525950e-06 0.000000000000e+000  1.476002609822e-03 0.000000000000e+000  9.985239972902e-01 0.000000000000e+000  3.689787120193e-06 0.000000000000e+000  -3.689787121757e-06 0.000000000000e+000  3.689765225343e-06 0.000000000000e+000  -3.689765227482e-06 0.000000000000e+000  3.689781960005e-06 0.000000000000e+000  -3.689781961868e-06 0.000000000000e+000  3.689838314052e-06 0.000000000000e+000  -3.689838315453e-06 0.000000000000e+000  3.689856775979e-06 0.000000000000e+000  -3.689856775091e-06 0.000000000000e+000  3.689099364880e-06 0.000000000000e+000  -3.689099363092e-06 0.000000000000e+000  3.689151392297e-06 0.000000000000e+000  -3.689151392292e-06 0.000000000000e+000  
-3.689789610994e-06 0.000000000000e+000  3.689789610762e-06 0.000000000000e+000  -3.689718525700e-06 0.000000000000e+000  3.689718520052e-06 0.000000000000e+000  9.985239972902e-01 0.000000000000e+000  1.476002609821e-03 0.000000000000e+000  -3.689787121806e-06 0.000000000000e+000  3.689787120356e-06 0.000000000000e+000  -3.689765227543e-06 0.000000000000e+000  3.689765225443e-06 0.000000000000e+000  -3.689781961743e-06 0.000000000000e+000  3.689781959977e-06 0.000000000000e+000  -3.689838315306e-06 0.000000000000e+000  3.689838314043e-06 0.000000000000e+000  -3.689856775111e-06 0.000000000000e+000  3.689856776189e-06 0.000000000000e+000  -3.689099363245e-06 0.000000000000e+000  3.689099364981e-06 0.000000000000e+000  -3.689151392180e-06 0.000000000000e+000  3.689151392338e-06 0.000000000000e+000  
3.689750342463e-06 0.000000000000e+000  -3.689750342313e-06 0.000000000000e+000  3.689679249581e-06 0.000000000000e+000  -3.689679261582e-06 0.000000000000e+000  3.689787120193e-06 0.000000000000e+000  -3.689787121806e-06 0.000000000000e+000  1.486629283137e-03 0.000000000000e+000  9.985133706169e-01 0.000000000000e+000  3.689725960508e-06 0.000000000000e+000  -3.689725956313e-06 0.000000000000e+000  3.689742693186e-06 0.000000000000e+000  -3.689742692384e-06 0.000000000000e+000  3.689799044718e-06 0.000000000000e+000  -3.689799046732e-06 0.000000000000e+000  3.689817505885e-06 0.000000000000e+000  -3.689817507605e-06 0.000000000000e+000  3.689060103389e-06 0.000000000000e+000  -3.689060102609e-06 0.000000000000e+000  3.689112130213e-06 0.000000000000e+000  -3.689112131265e-06 0.000000000000e+000  
-3.689750342414e-06 0.000000000000e+000  3.689750342295e-06 0.000000000000e+000  -3.689679261502e-06 0.000000000000e+000  3.689679249397e-06 0.000000000000e+000  -3.689787121757e-06 0.000000000000e+000  3.689787120356e-06 0.000000000000e+000  9.985133706169e-01 0.000000000000e+000  1.486629283136e-03 0.000000000000e+000  -3.689725956584e-06 0.000000000000e+000  3.689725960490e-06 0.000000000000e+000  -3.689742692471e-06 0.000000000000e+000  3.689742693324e-06 0.000000000000e+000  -3.689799046718e-06 0.000000000000e+000  3.689799044736e-06 0.000000000000e+000  -3.689817507535e-06 0.000000000000e+000  3.689817505701e-06 0.000000000000e+000  -3.689060102749e-06 0.000000000000e+000  3.689060103296e-06 0.000000000000e+000  -3.689112131181e-06 0.000000000000e+000  3.689112130206e-06 0.000000000000e+000  
3.689728448269e-06 0.000000000000e+000  -3.689728448074e-06 0.000000000000e+000  3.689657339929e-06 0.000000000000e+000  -3.689657383804e-06 0.000000000000e+000  3.689765225343e-06 0.000000000000e+000  -3.689765227543e-06 0.000000000000e+000  3.689725960508e-06 0.000000000000e+000  -3.689725956584e-06 0.000000000000e+000  1.492554263203e-03 0.000000000000e+000  9.985074456368e-01 0.000000000000e+000  3.689720797941e-06 0.000000000000e+000  -3.689720798638e-06 0.000000000000e+000  3.689777150152e-06 0.000000000000e+000  -3.689777152220e-06 0.000000000000e+000  3.689795610700e-06 0.000000000000e+000  -3.689795612803e-06 0.000000000000e+000  3.689038212754e-06 0.000000000000e+000  -3.689038212819e-06 0.000000000000e+000  3.689090238327e-06 0.000000000000e+000  -3.689090242075e-06 0.000000000000e+000  
-3.689728448271e-06 0.000000000000e+000  3.689728448080e-06 0.000000000000e+000  -3.689657383774e-06 0.000000000000e+000  3.689657339831e-06 0.000000000000e+000  -3.689765227482e-06 0.000000000000e+000  3.689765225443e-06 0.000000000000e+000  -3.689725956313e-06 0.000000000000e+000  3.689725960490e-06 0.000000000000e+000  9.985074456368e-01 0.000000000000e+000  1.492554263204e-03 0.000000000000e+000  -3.689720798443e-06 0.000000000000e+000  3.689720797940e-06 0.000000000000e+000  -3.689777152160e-06 0.000000000000e+000  3.689777150349e-06 0.000000000000e+000  -3.689795612796e-06 0.000000000000e+000  3.689795610799e-06 0.000000000000e+000  -3.689038212624e-06 0.000000000000e+000  3.689038212836e-06 0.000000000000e+000  -3.689090241996e-06 0.000000000000e+000  3.689090238360e-06 0.000000000000e+000  
3.689745182438e-06 0.000000000000e+000  -3.689745182318e-06 0.000000000000e+000  3.689674073229e-06 0.000000000000e+000  -3.689674118432e-06 0.000000000000e+000  3.689781960005e-06 0.000000000000e+000  -3.689781961743e-06 0.000000000000e+000  3.689742693186e-06 0.000000000000e+000  -3.689742692471e-06 0.000000000000e+000  3.689720797941e-06 0.000000000000e+000  -3.689720798443e-06 0.000000000000e+000  1.488025667696e-03 0.000000000000e+000  9.985119742323e-01 0.000000000000e+000  3.689793886566e-06 0.000000000000e+000  -3.689793884860e-06 0.000000000000e+000  3.689812345699e-06 0.000000000000e+000  -3.689812347494e-06 0.000000000000e+000  3.689054943893e-06 0.000000000000e+000  -3.689054944046e-06 0.000000000000e+000  3.689106969772e-06 0.000000000000e+000  -3.689106973413e-06 0.000000000000e+000  
