2.803361381926e-03 0.000000000000e+000  9.971966385181e-01 0.000000000000e+000  5.730269856378e-06 0.000000000000e+000  -5.730269856378e-06 0.000000000000e+000  5.729337885042e-06 0.000000000000e+000  -5.729337885042e-06 0.000000000000e+000  5.729140678521e-06 0.000000000000e+000  -5.729140678522e-06 0.000000000000e+000  5.729471133022e-06 0.000000000000e+000  -5.729471133022e-06 0.000000000000e+000  5.729516445058e-06 0.000000000000e+000  -5.729516445058e-06 0.000000000000e+000  5.729308253269e-06 0.000000000000e+000  -5.729308253269e-06 0.000000000000e+000  5.729359612364e-06 0.000000000000e+000  -5.729359612364e-06 0.000000000000e+000  5.729608592377e-06 0.000000000000e+000  -5.729608592377e-06 0.000000000000e+000  5.729744838130e-06 0.000000000000e+000  -5.729744838130e-06 0.000000000000e+000  
9.971966385181e-01 0.000000000000e+000  2.803361381926e-03 0.000000000000e+000  -5.730269856379e-06 0.000000000000e+000  5.730269856378e-06 0.000000000000e+000  -5.729337885042e-06 0.000000000000e+000  5.729337885042e-06 0.000000000000e+000  -5.729140678521e-06 0.000000000000e+000  5.729140678522e-06 0.000000000000e+000  -5.729471133022e-06 0.000000000000e+000  5.729471133022e-06 0.000000000000e+000  -5.729516445058e-06 0.000000000000e+000  5.729516445058e-06 0.000000000000e+000  -5.729308253269e-06 0.000000000000e+000  5.729308253269e-06 0.000000000000e+000  -5.729359612364e-06 0.000000000000e+000  5.729359612364e-06 0.000000000000e+000  -5.729608592377e-06 0.000000000000e+000  5.729608592377e-06 0.000000000000e+000  -5.729744838130e-06 0.000000000000e+000  5.729744838130e-06 0.000000000000e+000  
5.730269856378e-06 0.000000000000e+000  -5.730269856379e-06 0.000000000000e+000  2.676848597555e-03 0.000000000000e+000  9.973231513025e-01 0.000000000000e+000  5.730064761393e-06 0.000000000000e+000  -5.730064761393e-06 0.000000000000e+000  5.729867529853e-06 0.000000000000e+000  -5.729867529853e-06 0.000000000000e+000  5.730198026278e-06 0.000000000000e+000  -5.730198026278e-06 0.000000000000e+000  5.730243344062e-06 0.000000000000e+000  -5.730243344062e-06 0.000000000000e+000  5.730035125861e-06 0.000000000000e+000  -5.730035125861e-06 0.000000000000e+000  5.730086491471e-06 0.000000000000e+000  -5.730086491471e-06 0.000000000000e+000  5.730335503072e-06 0.000000000000e+000  -5.730335503072e-06 0.000000000000e+000  5.730471766111e-06 0.000000000000e+000  -5.730471766111e-06 0.000000000000e+000  
-5.730269856378e-06 0.000000000000e+000  5.730269856378e-06 0.000000000000e+000  9.973231513025e-01 0.000000000000e+000  2.676848597555e-03 0.000000000000e+000  -5.730064761393e-06 0.000000000000e+000  5.730064761393e-06 0.000000000000e+000  -5.729867529853e-06 0.000000000000e+000  5.729867529853e-06 0.000000000000e+000  -5.730198026278e-06 0.000000000000e+000  5.730198026278e-06 0.000000000000e+000  -5.730243344062e-06 0.000000000000e+000  5.730243344062e-06 0.000000000000e+000  -5.730035125860e-06 0.000000000000e+000  5.730035125860e-06 0.000000000000e+000  -5.730086491471e-06 0.000000000000e+000  5.730086491471e-06 0.000000000000e+000  -5.730335503072e-06 0.000000000000e+000  5.730335503072e-06 0.000000000000e+000  -5.730471766111e-06 0.000000000000e+000  5.730471766111e-06 0.000000000000e+000  
5.729337885042e-06 0.000000000000e+000  -5.729337885042e-06 0.000000000000e+000  5.730064761393e-06 0.000000000000e+000  -5.730064761393e-06 0.000000000000e+000  2.839052345982e-03 0.000000000000e+000  9.971609475540e-01 0.000000000000e+000  5.728935623951e-06 0.000000000000e+000  -5.728935623951e-06 0.000000000000e+000  5.729266066624e-06 0.000000000000e+000  -5.729266066624e-06 0.000000000000e+000  5.729311377037e-06 0.000000000000e+000  -5.729311377037e-06 0.000000000000e+000  5.729103192700e-06 0.000000000000e+000  -5.729103192700e-06 0.000000000000e+000  5.729154549957e-06 0.000000000000e+000  -5.729154549957e-06 0.000000000000e+000  5.729403521059e-06 0.000000000000e+000  -5.729403521059e-06 0.000000000000e+000  5.729539761935e-06 0.000000000000e+000  -5.729539761935e-06 0.000000000000e+000  
-5.729337885042e-06 0.000000000000e+000  5.729337885042e-06 0.000000000000e+000  -5.730064761393e-06 0.000000000000e+000  5.730064761393e-06 0.000000000000e+000  9.971609475540e-01 0.000000000000e+000  2.839052345982e-03 0.000000000000e+000  -5.728935623951e-06 0.000000000000e+000  5.728935623951e-06 0.000000000000e+000  -5.729266066624e-06 0.000000000000e+000  5.729266066624e-06 0.000000000000e+000  -5.729311377037e-06 0.000000000000e+000  5.729311377038e-06 0.000000000000e+000  -5.729103192700e-06 0.000000000000e+000  5.729103192700e-06 0.000000000000e+000  -5.729154549957e-06 0.000000000000e+000  5.729154549957e-06 0.000000000000e+000  -5.729403521059e-06 0.000000000000e+000  5.729403521059e-06 0.000000000000e+000  -5.729539761935e-06 0.000000000000e+000  5.729539761936e-06 0.000000000000e+000  
5.729140678521e-06 0.000000000000e+000  -5.729140678521e-06 0.000000000000e+000  5.729867529853e-06 0.000000000000e+000  -5.729867529853e-06 0.000000000000e+000  5.728935623951e-06 0.000000000000e+000  -5.728935623951e-06 0.000000000000e+000  2.873374900296e-03 0.000000000000e+000  9.971266249997e-01 0.000000000000e+000  5.729068862576e-06 0.000000000000e+000  -5.729068862576e-06 0.000000000000e+000  5.729114171430e-06 0.000000000000e+000  -5.729114171430e-06 0.000000000000e+000  5.728905994258e-06 0.000000000000e+000  -5.728905994258e-06 0.000000000000e+000  5.728957349747e-06 0.000000000000e+000  -5.728957349747e-06 0.000000000000e+000  5.729206312279e-06 0.000000000000e+000  -5.729206312279e-06 0.000000000000e+000  5.729342548466e-06 0.000000000000e+000  -5.729342548467e-06 0.000000000000e+000  
-5.729140678522e-06 0.000000000000e+000  5.729140678522e-06 0.000000000000e+000  -5.729867529853e-06 0.000000000000e+000  5.729867529853e-06 0.000000000000e+000  -5.728935623951e-06 0.000000000000e+000  5.728935623951e-06 0.000000000000e+000  9.971266249997e-01 0.000000000000e+000  2.873374900296e-03 0.000000000000e+000  -5.729068862576e-06 0.000000000000e+000  5.729068862576e-06 0.000000000000e+000  -5.729114171430e-06 0.000000000000e+000  5.729114171430e-06 0.000000000000e+000  -5.728905994258e-06 0.000000000000e+000  5.728905994258e-06 0.000000000000e+000  -5.728957349747e-06 0.000000000000e+000  5.728957349747e-06 0.000000000000e+000  -5.729206312279e-06 0.000000000000e+000  5.729206312279e-06 0.000000000000e+000  -5.729342548467e-06 0.000000000000e+000  5.729342548467e-06 0.000000000000e+000  
5.729471133022e-06 0.000000000000e+000  -5.729471133022e-06 0.000000000000e+000  5.730198026278e-06 0.000000000000e+000  -5.730198026278e-06 0.000000000000e+000  5.729266066624e-06 0.000000000000e+000  -5.729266066624e-06 0.000000000000e+000  5.729068862576e-06 0.000000000000e+000  -5.729068862576e-06 0.000000000000e+000  2.815861373177e-03 0.000000000000e+000  9.971841385268e-01 0.000000000000e+000  5.729444624401e-06 0.000000000000e+000  -5.729444624401e-06 0.000000000000e+000  5.729236435222e-06 0.000000000000e+000  -5.729236435222e-06 0.000000000000e+000  5.729287793673e-06 0.000000000000e+000  -5.729287793673e-06 0.000000000000e+000  5.729536770566e-06 0.000000000000e+000  -5.729536770566e-06 0.000000000000e+000  5.729673014611e-06 0.000000000000e+000  -5.729673014611e-06 0.000000000000e+000  
-5.729471133022e-06 0.000000000000e+000  5.729471133022e-06 0.000000000000e+000  -5.730198026278e-06 0.000000000000e+000  5.730198026278e-06 0.000000000000e+000  -5.729266066624e-06 0.000000000000e+000  5.729266066624e-06 0.000000000000e+000  -5.729068862576e-06 0.000000000000e+000  5.729068862576e-06 0.000000000000e+000  9.971841385268e-01 0.000000000000e+000  2.815861373177e-03 0.000000000000e+000  -5.729444624401e-06 0.000000000000e+000  5.729444624402e-06 0.000000000000e+000  -5.729236435223e-06 0.000000000000e+000  5.729236435223e-06 0.000000000000e+000  -5.729287793674e-06 0.000000000000e+000  5.729287793674e-06 0.000000000000e+000  -5.729536770566e-06 0.000000000000e+000  5.729536770566e-06 0.000000000000e+000  -5.729673014611e-06 0.000000000000e+000  5.729673014611e-06 0.000000000000e+000  
5.729516445058e-06 0.000000000000e+000  -5.729516445058e-06 0.000000000000e+000  5.730243344062e-06 0.000000000000e+000  -5.730243344062e-06 0.000000000000e+000  5.729311377037e-06 0.000000000000e+000  -5.729311377037e-06 0.000000000000e+000  5.729114171430e-06 0.000000000000e+000  -5.729114171430e-06 0.000000000000e+000  5.729444624401e-06 0.000000000000e+000  -5.729444624401e-06 0.000000000000e+000  2.807975098447e-03 0.000000000000e+000  9.971920248015e-01 0.000000000000e+000  5.729281745402e-06 0.000000000000e+000  -5.729281745402e-06 0.000000000000e+000  5.729333104259e-06 0.000000000000e+000  -5.729333104259e-06 0.000000000000e+000  5.729582083120e-06 0.000000000000e+000  -5.729582083120e-06 0.000000000000e+000  5.729718328243e-06 0.000000000000e+000  -5.729718328243e-06 0.000000000000e+000  
